id_venta,nro_transaccion,id_producto,fecha_venta,hora_venta,precio,cantidad,id_empleado,id_mesa
1,1,1,2024-05-12,19:49:00,6500,1,1,19
2,2,2,2024-05-12,19:56:00,6500,1,2,4
3,3,3,2024-05-12,20:25:00,8800,1,2,47
4,4,3,2024-05-12,21:37:00,8800,1,3,0
5,5,4,2024-05-12,21:44:00,10800,1,3,0
6,6,5,2024-05-12,21:57:00,11000,1,1,19
7,7,6,2024-05-12,22:01:00,10400,1,2,11
8,8,7,2024-05-12,22:01:00,19500,1,2,4
9,9,1,2024-05-12,22:16:00,6500,1,1,48
10,10,8,2024-05-12,22:28:00,8500,1,1,1
11,10,9,2024-05-12,22:28:00,6600,1,1,1
12,10,10,2024-05-12,22:28:00,8800,1,1,1
13,11,11,2024-05-12,23:33:00,1800,1,2,4
14,12,12,2024-05-12,23:41:00,8800,1,2,26
15,13,9,2024-05-12,23:47:00,6600,1,1,11
16,14,13,2024-05-12,23:51:00,2500,1,1,1
17,15,14,2024-05-12,23:53:00,24500,1,1,17
18,16,15,2024-05-12,23:59:00,10500,1,2,26
19,16,16,2024-05-12,23:59:00,8500,1,2,26
20,16,6,2024-05-12,23:59:00,10400,1,2,26
21,16,17,2024-05-12,23:59:00,7500,1,2,26
22,16,18,2024-05-12,23:59:00,6500,1,2,26
