id_venta,nro_transaccion,id_producto,fecha_venta,hora_venta,precio,cantidad,id_empleado,id_mesa
375,249,12,2024-05-24,20:11:00,8800,1,1,15
376,250,31,2024-05-24,20:12:00,9300,1,2,1
377,251,39,2024-05-24,21:01:00,6500,1,1,19
378,252,3,2024-05-24,21:21:00,8800,1,1,11
379,252,58,2024-05-24,21:21:00,21500,1,1,11
380,253,34,2024-05-24,21:25:00,9500,1,2,6
381,254,12,2024-05-24,21:30:00,8800,1,2,4
382,255,15,2024-05-24,21:33:00,10500,1,2,2
383,256,24,2024-05-24,21:40:00,6500,1,1,20
384,256,20,2024-05-24,21:40:00,24500,1,1,20
385,257,15,2024-05-24,21:45:00,10500,1,1,19
386,258,12,2024-05-24,21:50:00,8800,1,1,17
387,259,3,2024-05-24,21:53:00,8800,1,2,1
388,260,3,2024-05-24,21:55:00,8800,1,2,7
389,261,34,2024-05-24,21:57:00,9500,1,2,4
390,262,19,2024-05-24,22:10:00,6000,1,6,24
391,263,19,2024-05-24,22:10:00,6000,1,1,9
392,264,3,2024-05-24,22:10:00,8800,1,2,26
393,265,7,2024-05-24,22:13:00,19500,1,1,8
394,266,10,2024-05-24,22:16:00,8800,1,6,34
395,267,18,2024-05-24,22:20:00,6500,1,2,2
396,268,6,2024-05-24,22:21:00,10400,1,6,30
397,268,30,2024-05-24,22:21:00,7800,1,6,30
398,268,26,2024-05-24,22:21:00,8200,1,6,30
399,269,7,2024-05-24,22:22:00,19500,1,6,32
400,270,3,2024-05-24,22:24:00,8800,1,2,22
401,271,36,2024-05-24,22:29:00,11500,2,6,37
402,271,23,2024-05-24,22:29:00,9800,1,6,37
403,271,32,2024-05-24,22:29:00,10500,1,6,37
404,272,31,2024-05-24,22:33:00,9300,1,2,6
405,272,18,2024-05-24,22:33:00,6500,2,2,6
406,273,59,2024-05-24,22:45:00,6500,1,2,1
407,273,52,2024-05-24,22:45:00,6500,1,2,1
408,274,35,2024-05-24,22:46:00,8000,2,6,40
409,274,28,2024-05-24,22:46:00,9000,1,6,40
410,275,6,2024-05-24,22:46:00,10400,1,2,7
411,276,61,2024-05-24,22:47:00,2000,1,1,9
412,277,64,2024-05-24,23:00:00,8500,1,1,19
413,277,53,2024-05-24,23:00:00,6500,1,1,19
414,278,17,2024-05-24,23:03:00,7000,3,2,26
415,279,22,2024-05-24,23:09:00,10500,2,6,36
416,280,1,2024-05-24,23:14:00,6500,1,2,26
417,281,3,2024-05-24,23:20:00,8800,1,2,4
418,282,24,2024-05-24,23:22:00,6500,1,6,24
419,282,22,2024-05-24,23:22:00,10500,2,6,24
420,282,23,2024-05-24,23:22:00,9800,1,6,24
421,283,42,2024-05-24,23:24:00,10800,2,1,15
422,284,10,2024-05-24,23:44:00,8800,1,6,34
423,285,3,2024-05-24,23:50:00,8800,1,6,40
424,286,1,2024-05-24,23:50:00,6500,1,1,17
425,287,4,2024-05-24,23:59:00,10800,1,2,2
426,287,23,2024-05-24,23:59:00,9800,1,2,2
427,287,65,2024-05-24,23:59:00,950,1,2,2
428,288,2,2024-05-24,00:00:00,6500,1,6,24
429,289,22,2024-05-24,00:05:00,10500,1,2,7
430,290,13,2024-05-24,00:10:00,2500,1,2,26
431,291,13,2024-05-24,00:12:00,2500,3,6,36
432,292,19,2024-05-24,00:23:00,6000,1,2,1
433,292,23,2024-05-24,00:23:00,9800,1,2,1
434,293,12,2024-05-24,00:29:00,8800,1,1,11
435,294,24,2024-05-24,00:48:00,6500,1,2,0
436,294,52,2024-05-24,00:48:00,6500,1,2,0
