id_venta,nro_transaccion,id_producto,fecha_venta,hora_venta,cantidad,id_empleado,id_mesa
350,230,39,2024-05-23,20:23:00,6500,1,4,7
351,231,63,2024-05-23,20:35:00,14000,1,1,2
352,232,48,2024-05-23,20:57:00,6500,3,4,1
353,233,22,2024-05-23,20:58:00,10500,1,1,2
354,234,3,2024-05-23,21:04:00,8800,1,9,10
355,235,5,2024-05-23,21:07:00,11000,1,9,4
356,236,3,2024-05-23,21:26:00,8800,1,1,20
357,236,30,2024-05-23,21:26:00,7800,1,1,20
358,237,30,2024-05-23,21:26:00,7800,1,4,3
359,238,27,2024-05-23,21:43:00,7000,1,9,6
360,238,47,2024-05-23,21:43:00,24500,1,9,6
361,239,23,2024-05-23,21:45:00,9800,1,4,11
362,239,58,2024-05-23,21:45:00,21500,1,4,11
363,240,23,2024-05-23,22:00:00,9800,4,1,20
364,241,12,2024-05-23,22:04:00,8800,1,1,22
365,242,18,2024-05-23,22:12:00,6500,1,9,1
366,242,55,2024-05-23,22:12:00,6800,1,9,1
367,243,23,2024-05-23,22:27:00,9800,1,1,4
368,243,5,2024-05-23,22:27:00,11000,1,1,4
369,244,3,2024-05-23,22:30:00,8800,1,1,32
370,245,23,2024-05-23,22:35:00,9800,2,4,3
371,246,12,2024-05-23,22:47:00,8800,1,9,24
372,246,30,2024-05-23,22:47:00,7800,1,9,24
373,247,3,2024-05-23,23:14:00,8800,1,9,24
374,248,3,2024-05-23,23:24:00,8800,1,4,14
