id_venta,nro_transaccion,id_producto,fecha_venta,hora_venta,cantidad,id_empleado,id_mesa
314,207,19,2024-05-22,19:30:00,6000,2,7,21
315,208,24,2024-05-22,20:45:00,6500,1,6,11
316,208,56,2024-05-22,20:45:00,7500,1,6,11
317,209,41,2024-05-22,21:11:00,6250,1,7,5
318,210,19,2024-05-22,21:18:00,6000,1,2,2
319,210,9,2024-05-22,21:18:00,6650,1,2,2
320,211,22,2024-05-22,21:50:00,10500,1,6,1
321,212,22,2024-05-22,21:57:00,10500,1,7,19
322,212,10,2024-05-22,21:57:00,8800,1,7,19
323,213,8,2024-05-22,21:59:00,8500,1,2,25
324,213,16,2024-05-22,21:59:00,8500,1,2,25
325,213,28,2024-05-22,21:59:00,9000,2,2,25
326,213,22,2024-05-22,21:59:00,10500,1,2,25
327,214,18,2024-05-22,22:02:00,6500,2,6,7
328,214,48,2024-05-22,22:02:00,6500,1,6,7
329,214,53,2024-05-22,22:02:00,6500,1,6,7
330,215,19,2024-05-22,22:08:00,6000,1,6,11
331,215,4,2024-05-22,22:08:00,10800,1,6,11
332,216,19,2024-05-22,22:12:00,6000,1,2,32
333,217,53,2024-05-22,22:13:00,6500,1,3,0
334,218,52,2024-05-22,22:13:00,6500,1,3,0
335,219,23,2024-05-22,22:14:00,9800,1,6,11
336,219,34,2024-05-22,22:14:00,9500,1,6,11
337,219,15,2024-05-22,22:14:00,10500,1,6,11
338,219,28,2024-05-22,22:14:00,9000,1,6,11
339,219,29,2024-05-22,22:14:00,9700,1,6,11
340,220,7,2024-05-22,22:15:00,19500,1,7,14
341,221,12,2024-05-22,22:19:00,8800,1,7,20
342,222,24,2024-05-22,22:24:00,6500,1,2,12
343,223,58,2024-05-22,22:37:00,21500,1,6,6
344,224,14,2024-05-22,23:03:00,24500,1,2,8
345,225,3,2024-05-22,23:10:00,8800,1,7,37
346,226,29,2024-05-22,23:40:00,9700,1,6,1
347,227,40,2024-05-22,23:42:00,1800,1,2,25
348,228,36,2024-05-22,23:49:00,11500,1,2,32
349,229,62,2024-05-22,23:50:00,2500,1,7,19
