id_venta,nro_transaccion,id_producto,fecha_venta,hora_venta,precio,cantidad,id_empleado,id_mesa
1,1,1,2024-05-12,19:49:00.0000000,6500,1,1,19
2,2,2,2024-05-12,19:56:00.0000000,6500,1,2,4
3,3,3,2024-05-12,20:25:00.0000000,8800,1,2,47
4,4,3,2024-05-12,21:37:00.0000000,8800,1,3,0
5,5,4,2024-05-12,21:44:00.0000000,10800,1,3,0
6,6,5,2024-05-12,21:57:00.0000000,11000,1,1,19
7,7,6,2024-05-12,22:01:00.0000000,10400,1,2,11
8,8,7,2024-05-12,22:01:00.0000000,19500,1,2,4
9,9,1,2024-05-12,22:16:00.0000000,6500,1,1,48
10,10,8,2024-05-12,22:28:00.0000000,8500,1,1,1
11,10,9,2024-05-12,22:28:00.0000000,6600,1,1,1
12,10,10,2024-05-12,22:28:00.0000000,8800,1,1,1
13,11,11,2024-05-12,23:33:00.0000000,1800,1,2,4
14,12,12,2024-05-12,23:41:00.0000000,8800,1,2,26
15,13,9,2024-05-12,23:47:00.0000000,6600,1,1,11
16,14,13,2024-05-12,23:51:00.0000000,2500,1,1,1
17,15,14,2024-05-12,23:53:00.0000000,24500,1,1,17
18,16,15,2024-05-12,23:59:00.0000000,10500,1,2,26
19,16,16,2024-05-12,23:59:00.0000000,8500,1,2,26
20,16,6,2024-05-12,23:59:00.0000000,10400,1,2,26
21,16,17,2024-05-12,23:59:00.0000000,7500,1,2,26
22,16,18,2024-05-12,23:59:00.0000000,6500,1,2,26
23,17,19,2024-05-13,19:28:00.0000000,6000,1,4,1
24,18,20,2024-05-13,22:08:00.0000000,24200,1,5,17
25,18,12,2024-05-13,22:19:00.0000000,8800,2,4,36
26,18,3,2024-05-13,22:19:00.0000000,8800,2,4,36
27,18,21,2024-05-13,22:19:00.0000000,6150,1,4,36
28,18,22,2024-05-13,22:19:00.0000000,10500,2,4,36
29,18,23,2024-05-13,22:19:00.0000000,9800,1,4,36
30,18,9,2024-05-13,22:19:00.0000000,6650,1,4,36
31,18,17,2024-05-13,22:19:00.0000000,7000,1,4,36
32,18,24,2024-05-13,22:19:00.0000000,6500,1,4,36
33,19,25,2024-05-13,22:36:00.0000000,16250,1,4,36
34,20,8,2024-05-13,22:42:00.0000000,8500,2,5,16
35,20,26,2024-05-13,22:42:00.0000000,8200,1,5,16
36,21,27,2024-05-14,20:39:00.0000000,7000,1,6,2
37,22,28,2024-05-14,20:44:00.0000000,9000,1,6,2
38,22,29,2024-05-14,20:44:00.0000000,9700,1,6,2
39,23,3,2024-05-14,20:52:00.0000000,8800,1,4,4
40,24,30,2024-05-14,21:53:00.0000000,7800,1,4,1
41,24,16,2024-05-14,21:53:00.0000000,8500,1,4,1
42,24,28,2024-05-14,21:53:00.0000000,9000,1,4,1
43,25,30,2024-05-14,21:59:00.0000000,7800,1,6,25
44,26,6,2024-05-14,22:05:00.0000000,10400,1,6,25
45,27,6,2024-05-14,22:07:00.0000000,10400,1,6,6
46,27,31,2024-05-14,22:07:00.0000000,9300,1,6,6
47,28,3,2024-05-14,22:10:00.0000000,8800,1,4,17
