id_venta,nro_transaccion,id_producto,fecha_venta,hora_venta,precio,cantidad,id_empleado,id_mesa
1862,1326,10,2024-07-07,20:00:00,8800,1,7,2
1863,1327,61,2024-07-07,20:57:00,2000,1,1,4
1864,1328,16,2024-07-07,21:11:00,8500,1,7,6
1865,1328,53,2024-07-07,21:11:00,6500,1,7,6
1866,1329,14,2024-07-07,21:32:00,24500,1,1,25
1867,1329,7,2024-07-07,21:32:00,19500,1,1,25
1868,1330,27,2024-07-07,21:36:00,7000,1,1,4
1869,1331,34,2024-07-07,21:44:00,9500,1,8,77
1870,1332,19,2024-07-07,21:52:00,6000,1,7,7
1871,1333,46,2024-07-07,21:59:00,5950,1,1,1
1872,1334,61,2024-07-07,22:04:00,2000,1,1,1
1873,1335,61,2024-07-07,22:04:00,5950,1,1,2
1874,1336,19,2024-07-07,22:20:00,6000,1,7,37
1875,1337,13,2024-07-07,23:25:00,2500,1,1,25
1876,1338,3,2024-07-07,23:42:00,8800,1,1,33
